datetime,value
6/26/2014 22:00,644172
6/27/2014 22:00,598838.4
6/28/2014 22:00,531900.4
6/29/2014 22:00,636979.3
6/30/2014 22:00,672642.8
7/1/2014 22:00,667208.1
7/2/2014 22:00,666759.5
7/3/2014 22:00,671981.5
7/4/2014 22:00,586115.8
7/5/2014 22:00,539128.9
7/6/2014 22:00,649197.3
7/7/2014 22:00,666634.3
7/8/2014 22:00,657581.2
7/9/2014 22:00,656023.7
7/10/2014 22:00,627960.7
7/11/2014 22:00,595575.4
7/12/2014 22:00,542464.6
7/13/2014 22:00,661718
7/14/2014 22:00,688944.2
7/15/2014 22:00,705879.7
7/16/2014 22:00,700371.7
7/17/2014 22:00,704714.4
7/18/2014 22:00,605092.4
7/19/2014 22:00,540793.4
7/20/2014 22:00,665508.2
7/21/2014 22:00,695266.5
7/22/2014 22:00,699725.7
7/23/2014 22:00,695078.7
7/24/2014 22:00,670547.4
7/25/2014 22:00,600227.4
7/26/2014 22:00,542227.7
7/27/2014 22:00,660668.7
7/28/2014 22:00,668354.2
7/29/2014 22:00,665745.3
7/30/2014 22:00,660369.8
7/31/2014 22:00,657481.2
8/1/2014 22:00,576983.5
8/2/2014 22:00,514871
8/3/2014 22:00,619778.8
8/4/2014 22:00,637712.2
8/5/2014 22:00,645065
8/6/2014 22:00,642191.8
8/7/2014 22:00,642809.7
8/8/2014 22:00,576267.9
8/9/2014 22:00,513470.1
8/10/2014 22:00,611727.9
8/11/2014 22:00,628602.1
8/12/2014 22:00,633069
8/13/2014 22:00,619160.8
8/14/2014 22:00,533863.3
8/15/2014 22:00,538999.1
8/16/2014 22:00,506062.3
8/17/2014 22:00,625329.9
8/18/2014 22:00,647758.6
8/19/2014 22:00,640400
8/20/2014 22:00,633112.5
8/21/2014 22:00,622386.7
8/22/2014 22:00,558372.3
8/23/2014 22:00,517882.2
8/24/2014 22:00,656158
8/25/2014 22:00,666491.9
8/26/2014 22:00,672412.4
8/27/2014 22:00,673589.9
8/28/2014 22:00,679284.1
8/29/2014 22:00,602248.6
8/30/2014 22:00,563413.8
8/31/2014 22:00,675697.4
9/1/2014 22:00,689895.3
9/2/2014 22:00,704152.9
9/3/2014 22:00,716448
9/4/2014 22:00,700520.3
9/5/2014 22:00,619745.1
9/6/2014 22:00,582223.9
9/7/2014 22:00,675376.7
9/8/2014 22:00,697431
9/9/2014 22:00,692303
9/10/2014 22:00,662311.9
9/11/2014 22:00,682582.2
9/12/2014 22:00,619501
9/13/2014 22:00,584251.5
9/14/2014 22:00,675374.7
9/15/2014 22:00,691269.2
9/16/2014 22:00,689784.2
9/17/2014 22:00,682728.5
9/18/2014 22:00,673918.3
9/19/2014 22:00,593602
9/20/2014 22:00,550328.4
9/21/2014 22:00,648660.5
9/22/2014 22:00,669556.7
9/23/2014 22:00,661923.5
9/24/2014 22:00,656113.4
9/25/2014 22:00,638181.8
9/26/2014 22:00,587212
9/27/2014 22:00,533322.8
9/28/2014 22:00,626558.6
9/29/2014 22:00,649595.5
9/30/2014 22:00,670372
10/1/2014 22:00,665717.8
10/2/2014 22:00,655866
10/3/2014 22:00,597043.4
10/4/2014 22:00,546801.7
10/5/2014 22:00,646342.7
10/6/2014 22:00,658603.9
10/7/2014 22:00,675096.3
10/8/2014 22:00,643970
10/9/2014 22:00,636091.5
